,file,label
0,assets/addi/fire/rescaled_image_5.jpg,fire
1,assets/addi/fire/rescaled_image_7.jpg,fire
2,assets/addi/fire/rescaled_image_6.jpg,fire
3,assets/addi/fire/rescaled_image_26.jpg,fire
4,assets/addi/fire/rescaled_image_24.jpg,fire
5,assets/addi/fire/rescaled_image_27.jpg,fire
6,assets/addi/fire/rescaled_image_17.jpg,fire
7,assets/addi/fire/rescaled_image_14.jpg,fire
8,assets/addi/fire/rescaled_image_16.jpg,fire
9,assets/addi/fire/rescaled_image_19.jpg,fire
10,assets/addi/fire/rescaled_image_10.jpg,fire
11,assets/addi/fire/rescaled_image_25.jpg,fire
12,assets/addi/fire/rescaled_image_21.jpg,fire
13,assets/addi/fire/rescaled_image_8.jpg,fire
14,assets/addi/fire/rescaled_image_18.jpg,fire
15,assets/addi/fire/rescaled_image_11.jpg,fire
16,assets/addi/fire/rescaled_image_23.jpg,fire
17,assets/addi/fire/rescaled_image_0.jpg,fire
18,assets/addi/fire/rescaled_image_13.jpg,fire
19,assets/addi/fire/rescaled_image_4.jpg,fire
20,assets/addi/fire/rescaled_image_9.jpg,fire
21,assets/addi/fire/rescaled_image_1.jpg,fire
22,assets/addi/fire/rescaled_image_2.jpg,fire
23,assets/addi/fire/rescaled_image_22.jpg,fire
24,assets/addi/fire/rescaled_image_15.jpg,fire
25,assets/addi/fire/rescaled_image_20.jpg,fire
26,assets/addi/no_fire/rescaled_image_5.jpg,no_fire
27,assets/addi/no_fire/rescaled_image_7.jpg,no_fire
28,assets/addi/no_fire/rescaled_image_6.jpg,no_fire
29,assets/addi/no_fire/rescaled_image_26.jpg,no_fire
30,assets/addi/no_fire/rescaled_image_24.jpg,no_fire
31,assets/addi/no_fire/rescaled_image_17.jpg,no_fire
32,assets/addi/no_fire/rescaled_image_12.jpg,no_fire
33,assets/addi/no_fire/rescaled_image_19.jpg,no_fire
34,assets/addi/no_fire/rescaled_image_10.jpg,no_fire
35,assets/addi/no_fire/rescaled_image_25.jpg,no_fire
36,assets/addi/no_fire/rescaled_image_21.jpg,no_fire
37,assets/addi/no_fire/rescaled_image_8.jpg,no_fire
38,assets/addi/no_fire/rescaled_image_18.jpg,no_fire
39,assets/addi/no_fire/rescaled_image_11.jpg,no_fire
40,assets/addi/no_fire/rescaled_image_23.jpg,no_fire
41,assets/addi/no_fire/rescaled_image_0.jpg,no_fire
42,assets/addi/no_fire/rescaled_image_13.jpg,no_fire
43,assets/addi/no_fire/rescaled_image_4.jpg,no_fire
44,assets/addi/no_fire/rescaled_image_9.jpg,no_fire
45,assets/addi/no_fire/rescaled_image_1.jpg,no_fire
46,assets/addi/no_fire/rescaled_image_3.jpg,no_fire
47,assets/addi/no_fire/rescaled_image_2.jpg,no_fire
48,assets/addi/no_fire/rescaled_image_15.jpg,no_fire
49,assets/addi/no_fire/rescaled_image_20.jpg,no_fire
50,assets/addi/photos/rescaled_image_5.jpg,no_fire
51,assets/addi/photos/rescaled_image_7.jpg,fire
52,assets/addi/photos/rescaled_image_6.jpg,no_fire
53,assets/addi/photos/rescaled_image_26.jpg,no_fire
54,assets/addi/photos/rescaled_image_24.jpg,no_fire
55,assets/addi/photos/rescaled_image_17.jpg,fire
56,assets/addi/photos/rescaled_image_12.jpg,fire
57,assets/addi/photos/rescaled_image_14.jpg,no_fire
58,assets/addi/photos/rescaled_image_16.jpg,fire
59,assets/addi/photos/rescaled_image_19.jpg,fire
60,assets/addi/photos/rescaled_image_10.jpg,fire
61,assets/addi/photos/rescaled_image_25.jpg,no_fire
62,assets/addi/photos/rescaled_image_21.jpg,fire
63,assets/addi/photos/rescaled_image_8.jpg,no_fire
64,assets/addi/photos/rescaled_image_18.jpg,fire
65,assets/addi/photos/rescaled_image_11.jpg,fire
66,assets/addi/photos/rescaled_image_23.jpg,no_fire
67,assets/addi/photos/rescaled_image_0.jpg,no_fire
68,assets/addi/photos/rescaled_image_13.jpg,no_fire
69,assets/addi/photos/rescaled_image_9.jpg,fire
70,assets/addi/photos/rescaled_image_1.jpg,no_fire
71,assets/addi/photos/rescaled_image_3.jpg,fire
72,assets/addi/photos/rescaled_image_2.jpg,no_fire
73,assets/addi/photos/rescaled_image_22.jpg,fire
74,assets/addi/photos/rescaled_image_15.jpg,no_fire
75,assets/addi/photos/rescaled_image_20.jpg,fire
